store,name,product_link,price,category
Jalal Sons,Qarshi Jam E Shirin 1.5L(1.5 L),https://jalalsons.com.pk/product/qarshi-jam-e-shirin-1-5l-177295,Rs 794,Beverages
Jalal Sons,Qarshi Jam E Shirin 800ML,https://jalalsons.com.pk/product/qarshi-jam-e-shirin-800ml-177297,Rs 484,Beverages
Jalal Sons,Shezan All Pure Orange 1L(1 L),https://jalalsons.com.pk/product/shezan-all-pure-orange-1l-177313,Rs 418,Beverages
Jalal Sons,Sprite Tin 250ML(250 Ml),https://jalalsons.com.pk/product/sprite-tin-250ml-177343,Rs 108,Beverages
Jalal Sons,Masafi Juice Mango Bot 1Ltr,https://jalalsons.com.pk/product/masafi-juice-mango-bot-1ltr-177211,Rs 894,Beverages
Jalal Sons,Sprite Zero 500ML(500 Ml),https://jalalsons.com.pk/product/sprite-zero-500ml-177345,Rs 108,Beverages
Jalal Sons,7up 345ML(345 Ml),https://jalalsons.com.pk/product/7up-345ml-177159,Rs 64,Beverages
Jalal Sons,Mogu Drink Grape 320ML,https://jalalsons.com.pk/product/mogu-drink-grape-320ml-177221,Rs 364,Beverages
Jalal Sons,Mogu Drink Orange 320Ml,https://jalalsons.com.pk/product/mogu-drink-orange-320ml-177224,Rs 364,Beverages
Jalal Sons,Sprite Zero Tin 250ML(250 Ml),https://jalalsons.com.pk/product/sprite-zero-tin-250ml-177347,Rs 108,Beverages
Jalal Sons,7up 1.5 Ltr(1.5 L),https://jalalsons.com.pk/product/7up-1-5-ltr-177160,Rs 154,Beverages
Jalal Sons,Shezan Fruit Drink Fruit P(300 Ml),https://jalalsons.com.pk/product/shezan-fruit-drink-fruit-p-177315,Rs 108,Beverages
Jalal Sons,Sting Drink 500ML(500 Ml),https://jalalsons.com.pk/product/sting-drink-500ml-177349,Rs 94,Beverages
Jalal Sons,7Up Free Bot 345ML(345 Ml),https://jalalsons.com.pk/product/7up-free-bot-345ml-177164,Rs 50,Beverages
Jalal Sons,Barbican Drink Bottle,https://jalalsons.com.pk/product/barbican-drink-bottle-177169,Rs 299,Beverages
Jalal Sons,Mirinda Orange 1.5Ltr(1.5 L),https://jalalsons.com.pk/product/mirinda-orange-1-5ltr-177217,Rs 154,Beverages
Jalal Sons,Pepsi 1.5L(1.5 L),https://jalalsons.com.pk/product/pepsi-1-5l-177283,Rs 154,Beverages
Jalal Sons,Tang Orange Pouch Bag 375G,https://jalalsons.com.pk/product/tang-orange-pouch-bag-375g-177351,Rs 324,Beverages
Jalal Sons,American Garden Popcorn Extra Butter,https://jalalsons.com.pk/product/american-garden-popcorn-extra-butter-177360,"Rs 1,094","Biscuits , Crisps And Snacks"
Jalal Sons,Tiffany Sugar Free Lemon Biscuits,https://jalalsons.com.pk/product/tiffany-sugar-free-lemon-biscuits-178193,"Rs 1,498","Biscuits , Crisps And Snacks"
Jalal Sons,Nutro Wafer Vanilla 150G(150 G),https://jalalsons.com.pk/product/nutro-wafer-vanilla-150g-177868,Rs 648,"Biscuits , Crisps And Snacks"
Jalal Sons,Nutro Wafer Vanilla 75G(75 G),https://jalalsons.com.pk/product/nutro-wafer-vanilla-75g-177873,Rs 464,"Biscuits , Crisps And Snacks"
Jalal Sons,Tiffany Crunch N Cream Vanilla 75G,https://jalalsons.com.pk/product/tiffany-crunch-n-cream-vanilla-75g-178167,Rs 298,"Biscuits , Crisps And Snacks"
Jalal Sons,Balocco Wafers Milk Vanilla,https://jalalsons.com.pk/product/balocco-wafers-milk-vanilla-177378,Rs 698,"Biscuits , Crisps And Snacks"
Jalal Sons,Fullo Wafer Stick Cho And Van 57G,https://jalalsons.com.pk/product/fullo-wafer-stick-cho-and-van-57g-177506,Rs 44,"Biscuits , Crisps And Snacks"
Jalal Sons,Doritos Spicy Nacho 31.8Gm,https://jalalsons.com.pk/product/doritos-spicy-nacho-31-8gm-177470,Rs 574,"Biscuits , Crisps And Snacks"
Jalal Sons,Tiffany Sugar Free Oatmeal 150Gm,https://jalalsons.com.pk/product/tiffany-sugar-free-oatmeal-150gm-178197,"Rs 1,598","Biscuits , Crisps And Snacks"
Jalal Sons,American Garden Popcorn Natural,https://jalalsons.com.pk/product/american-garden-popcorn-natural-177364,"Rs 1,094","Biscuits , Crisps And Snacks"
Jalal Sons,Balocco Wafers Cocoa(45 G),https://jalalsons.com.pk/product/balocco-wafers-cocoa-177374,Rs 278,"Biscuits , Crisps And Snacks"
Jalal Sons,Bisconni Chocolate Chip Half Pack,https://jalalsons.com.pk/product/bisconni-chocolate-chip-half-pack-177388,Rs 20,"Biscuits , Crisps And Snacks"
